id,lat,lon,tolerance_m
1,55.89100746,37.60484394,5
2,55.67699882,37.67313463,5
3,55.70294634,37.74115925,10
4,55.84386999,37.34891995,10
5,55.76348249,37.65742103,10
6,55.73307973,37.70797608,10
7,55.79403629,37.6934215,10
8,55.89629375,37.5990185,10
9,55.83555201,37.53375483,25
10,55.73155324,37.4422704,5
11,55.71751685,37.88839571,10
12,55.88243209,37.49427607,25
13,55.7291448,37.4053931,5
14,55.75700483,37.54304663,25
15,55.75250722,37.71012154,5
16,55.64758948,37.75534299,5
17,55.69581358,37.75637373,5
18,55.6680106,37.62001391,10
19,55.71755707,37.89420902,10
20,55.81181961,37.78065976,10
21,55.61244242,37.25485213,10
22,55.84211908,37.45717407,5
23,55.85346655,37.42566221,5
24,55.61182002,37.60097349,5
25,55.83943565,37.41466921,10
26,55.72920154,37.45468459,5
27,55.86502996,37.61356138,5
28,55.64085245,37.36495545,5
29,55.81020894,37.7228731,25
30,55.85211754,37.68097128,25
31,55.80013425,37.40054211,25
32,55.86767152,37.48472044,5
33,55.8991411,37.61978463,5
34,55.64248048,37.67280261,5
35,55.98406694,37.1843828,50
36,55.64713489,37.75616605,5
37,55.6865194,37.75097912,5
38,55.62034153,37.66670687,5
39,55.72223324,37.81314491,10
40,55.73952606,37.82698007,10
41,55.7216744,37.66073605,5
42,55.63618849,37.68220703,25
43,55.80121382,37.73814775,5
44,55.64444812,37.53013368,5
45,55.64213028,37.76409627,10
46,55.83912486,37.37232387,5
47,55.7884339,37.80933738,10
48,55.64987222,37.36819617,5
49,55.87032563,37.71592334,5
50,55.86995776,37.51061172,5
51,55.62034153,37.66670687,5
52,55.68334197,37.85173541,10
53,55.72004591,37.7373504,5
54,55.70311038,37.62296225,5
55,55.66893837,37.74473182,10
56,55.75058078,37.79924209,5
57,55.81508567,37.73037994,10
58,55.53215179,37.51202146,10
59,55.80352061,37.49751806,5
60,55.60875537,37.58955334,5
61,55.88544237,37.40701552,25
62,55.80077969,37.78403416,25
63,55.79881256,37.71845376,10
64,55.74827079,37.82260897,10
65,55.69318999,37.6090476,5
66,55.88213778,37.65475912,25
67,55.80220591,37.39402502,5
68,55.70311038,37.62296225,5
69,55.8363255,37.65685928,5
70,55.61483778,37.72926665,10
71,55.89186168,37.61421682,5
72,55.67958945,37.44485958,25
73,55.74605585,37.67395107,5
74,55.8823339,37.53958692,5
75,55.70975063,37.58910361,5
76,55.71736981,37.8076083,25
77,55.60617837,37.74757203,5
78,55.70769653,37.79104197,10
79,55.62850794,37.47436803,5
80,55.79774329,37.80289312,5
81,55.81611977,37.79285673,5
82,55.54005382,37.54086956,50
83,55.8753935,37.49487979,25
84,55.77493118,37.70484718,10
85,55.54559847,37.55743032,25
86,55.87537608,37.65894056,10
87,55.81235986,37.70477736,25
88,55.98076151,37.19054585,50
89,55.81197624,37.46125989,5
90,55.64126908,37.51384484,25
91,55.6564948,37.49720859,10
92,55.74291558,37.49148398,10
93,55.66700387,37.49486083,5
94,55.56820755,37.57832771,5
95,55.85831247,37.59012824,10
96,55.7267684,37.58166327,25
97,55.84421452,37.42785257,5
98,55.63820665,37.69753638,5
99,55.64982823,37.40512482,25
100,55.60825766,37.699642,5
101,55.71425343,37.7274702,10
102,55.74671849,37.56311632,10
103,55.89603396,37.60020924,10
104,55.88358926,37.66015769,10
105,55.84334725,37.5734035,5
106,55.80418716,37.71050114,10
107,55.89228661,37.56942601,10
108,55.87640566,37.51046615,10
109,55.78609258,37.7483766,10
110,55.86527178,37.50700153,25
111,55.691949,37.72851871,25
112,55.80577404,37.71613066,10
113,55.98077355,37.14816178,10
114,55.7576188,37.71374113,5
115,55.81750899,37.77749153,10
116,55.89463207,37.52664621,25
117,55.60439752,37.51521725,5
118,55.64030615,37.36867704,25
119,55.62774832,37.5971541,10
120,55.71703055,37.75120225,5
121,55.71263364,37.81228252,10
122,55.89350516,37.56881372,10
123,56.00221295,37.19969208,25
124,55.68067207,37.4508414,25
125,55.7256333,37.56834471,5
126,55.81219639,37.70049835,5
127,55.69307741,37.61249652,5
128,55.62606751,37.71861522,5
129,55.75162569,37.83104731,5
130,55.76262265,37.70799504,10
131,55.85276481,37.52050168,25
132,55.77761039,37.83492406,5
133,55.86537063,37.62544279,5
134,55.66413379,37.53410341,5
135,55.64322454,37.54199771,5
136,55.76260802,37.71687243,5
137,55.739364,37.85669614,10
138,55.80699849,37.71511345,25
139,55.73866065,37.69259686,25
140,55.68226707,37.64075778,5
141,55.88071595,37.53231894,25
142,55.62606824,37.72337184,5
143,55.88730573,37.65354987,10
144,55.79934003,37.79914811,5
145,55.59182373,37.66555776,5
146,55.81057667,37.81832206,25
147,55.76649999,37.73527525,5
148,55.67665487,37.63444737,5
149,55.68712407,37.68366783,5
150,55.88163543,37.56082791,25
151,55.67983937,37.7621707,10
152,55.64445539,37.33941638,10
153,55.61434304,37.60048037,10
154,55.66895049,37.51356116,5
155,55.98976024,37.23309413,25
156,55.87971527,37.53285784,25
157,55.80211934,37.5477267,5
158,55.83702154,37.48858391,10
159,55.70903466,37.47702982,25
160,55.65403087,37.39526874,10
161,55.65885514,37.75527779,10
162,55.85509615,37.56486042,25
163,55.55283914,37.52909671,50
164,55.57791864,37.57176109,25
165,55.9955061,37.21582444,10
166,55.63748779,37.71431182,5
167,55.86270881,37.57046445,10
168,55.54591215,37.53842885,50
169,55.67828265,37.45586039,5
170,55.68191076,37.69007127,5
171,55.7632604,37.41712336,25
172,55.68654265,37.71976705,25
173,55.70774183,37.67703291,5
174,55.81340018,37.72879166,10
175,55.6950587,37.75969613,5
176,55.59388948,37.66989633,5
177,55.71434734,37.64281287,5
178,55.8722617,37.50066329,25
179,55.90966405,37.38949918,5
180,55.75689714,37.77936133,5
181,55.66440707,37.74727302,10
182,55.68694071,37.57284565,5
183,55.62693306,37.72693756,5
184,55.63390624,37.76294074,5
185,55.78723122,37.45747249,10
186,55.872628,37.61629151,5
187,55.70916532,37.77249132,5
188,55.68298693,37.70491996,5
189,55.76617623,37.82841764,5
190,55.68596623,37.46050734,5
191,55.80928906,37.48171153,5
192,55.81301099,37.78296686,5
193,55.86537668,37.49284259,5
194,55.7987302,37.8232958,10
195,55.85201241,37.34971213,5
196,55.68718569,37.69153076,5
197,55.77836982,37.68392189,5
198,55.84732971,37.43718371,5
199,55.63589681,37.79242941,25
200,55.73180118,37.4714983,5
201,55.77672049,37.53155819,5
202,55.55125676,37.55261754,5
203,55.82342618,37.60232824,5
204,55.71571845,37.67262959,5
205,55.79170358,37.81951802,25
206,55.76315675,37.69931665,10
207,55.75306596,37.40647214,5
208,55.59758414,37.60790163,5
209,55.9905347,37.18741116,50
210,55.60854829,37.60966566,5
211,55.66704104,37.51916257,5
212,55.841057,37.41984995,5
213,55.80535937,37.57229444,10
214,55.59664426,37.53449289,5
215,55.84716002,37.42124512,5
216,55.60634801,37.60821367,5
217,55.66221918,37.51998698,10
218,55.71459439,37.45540901,5
219,55.80689002,37.79931489,25
220,55.73903627,37.49303533,5
221,55.70729161,37.65916148,5
222,55.88485775,37.65643847,25
223,55.8894603,37.39528857,10
224,55.5925831,37.64322049,10
225,55.70665824,37.61555892,10
226,55.85582045,37.42362403,5
227,55.73825974,37.6934437,25
228,55.6827171,37.92797188,5
229,55.50703256,37.57955026,25
230,55.67352738,37.81014859,5
231,55.67864461,37.68266531,5
232,55.61472377,37.59131142,5
233,55.68843695,37.85096424,10
234,55.6088542,37.70045117,10
235,55.75615273,37.54011377,25
236,55.74333844,37.68419986,5
237,55.74746914,37.77561058,5
238,55.64420619,37.71283903,5
239,55.61242525,37.53162123,10
240,55.82604449,37.51385747,10
241,55.98122631,37.14913709,10
242,55.72188136,37.82809547,10
243,55.58611859,37.69729886,5
244,55.64445539,37.33941638,10
245,55.77505938,37.82365968,5
246,55.75120029,37.41009368,5
247,55.62086957,37.70357546,5
248,55.72157125,37.79131836,10
249,55.75160851,37.7148297,5
250,55.89282294,37.54672108,10
251,55.71751685,37.88839571,10
252,55.66396743,37.54980325,5
253,55.85385331,37.65431311,10
254,55.67808398,37.48571877,5
255,55.70935913,37.47685712,25
256,55.69946593,37.78806016,5
257,55.82756179,37.51807519,5
258,55.691949,37.72851871,25
259,55.81572786,37.7913284,25
260,55.63430542,37.79315515,25
261,55.81440982,37.654196,5
262,55.70562967,37.77398535,10
263,55.81153492,37.52784962,5
264,55.61999664,37.66050052,5
265,55.8998949,37.38143415,5
266,55.87735591,37.67477382,5
267,55.70990025,37.78376866,5
268,55.56656866,37.56289776,10
269,55.57047696,37.57441511,25
270,55.604614,37.58572594,5
271,55.77514802,37.64238163,5
272,55.72019272,37.90909107,25
273,55.64373228,37.73961364,5
274,55.60950607,37.73570672,10
275,55.67775377,37.6020893,5
276,55.81778471,37.40072216,5
277,55.63881189,37.54348748,5
278,55.88056101,37.49610927,25
279,55.89200021,37.38974067,10
280,55.5727992,37.56553481,10
281,55.81801178,37.70702216,5
282,55.76830136,37.82335647,5
283,55.68066804,37.72316218,25
284,55.68644983,37.7306194,10
285,55.7163554,37.61073632,10
286,55.67336035,37.79266182,5
287,55.77632415,37.54568173,5
288,55.6680106,37.62001391,10
289,55.6671973,37.61366864,5
290,55.78620564,37.45999017,5
291,55.64513536,37.73996096,5
292,55.66474219,37.61062657,5
293,55.7176234,37.88277407,10
294,55.78107796,37.51351625,5
295,55.74788456,37.82048364,10
296,55.85413778,37.61331557,5
297,55.67817859,37.67465359,10
298,55.74049075,37.40303425,10
299,55.80574866,37.53725244,5
300,55.65845448,37.58462258,10
301,55.71537639,37.77138636,5
302,55.70545448,37.74847178,5
303,55.85509615,37.56486042,25
304,55.83031846,37.5182911,5
305,55.7983175,37.72914392,5
306,55.66206307,37.61325113,5
307,55.96837029,37.15334255,10
308,55.79093437,37.78469807,10
309,55.82513513,37.60308446,5
310,55.73354511,37.40436705,10
311,55.89092447,37.65225804,10
312,55.71622334,37.62625847,5
313,55.61374303,37.59710643,5
314,55.75396685,37.62036529,5
315,55.80741916,37.81544332,10
316,55.71289128,37.78187324,5
317,55.80313649,37.50904455,5
318,55.69268889,37.45219693,10
319,55.80042609,37.45087733,5
320,55.79541826,37.52015137,10
321,55.8029462,37.76766462,25
322,55.60772023,37.70945056,5
323,55.69118121,37.71801368,25
324,55.86950704,37.66949605,5
325,55.81053513,37.82700356,10
326,55.63987517,37.61152207,5
327,55.61268991,37.54995518,25
328,55.87377156,37.58971646,25
329,55.78292379,37.61034846,5
330,55.77505938,37.82365968,5
331,55.70932219,37.47776964,25
332,55.80068144,37.72460322,5
333,55.80752609,37.78619469,25
334,55.8749705,37.69663176,25
335,55.80628201,37.72749265,10
336,55.64987222,37.36819617,5
337,55.74720792,37.78523589,5
338,55.68172292,37.5856283,5
339,55.98066063,37.18979874,25
340,55.61834827,37.69788021,25
341,55.7151361,37.86136411,10
342,55.81258876,37.59306384,5
343,55.74416166,37.77741949,5
344,55.97284443,37.14899394,25
345,55.71202154,37.75107566,5
346,55.8830834,37.6883193,5
347,56.00553142,37.20301118,25
348,55.65279605,37.3396173,25
349,55.65137126,37.72006814,5
350,55.90000979,37.57444555,5
351,55.83912486,37.37232387,5
352,55.80934717,37.49373486,5
353,55.64279871,37.51848658,25
354,55.87278828,37.6632764,5
355,55.73151413,37.46950742,5
356,55.66362562,37.47481829,10
357,55.71797383,37.61595072,5
358,55.57803978,37.56998852,25
359,55.85214013,37.35060951,5
360,55.82751984,37.80807413,25
361,55.81960409,37.79314369,10
362,55.80611817,37.75784892,10
363,55.7381896,37.76721784,10
364,55.63430542,37.79315515,25
365,55.7821755,37.45350753,5
366,55.81786373,37.52397249,5
367,55.89399226,37.60029181,10
368,55.76944986,37.41644917,10
369,55.57803978,37.56998852,25
370,55.80929481,37.79271959,25
371,55.7818285,37.4800922,10
372,55.54319329,37.55132878,5
373,55.7840585,37.70829987,5
374,55.77287807,37.82487962,5
375,55.81276154,37.45474976,5
376,55.67683806,37.74360921,10
377,55.82663221,37.75489297,10
378,55.87112126,37.67727993,5
379,55.85262334,37.43353515,5
380,55.64537815,37.72050477,5
381,55.7622994,37.78445592,5
382,55.90329263,37.5849087,25
383,55.79140444,37.78881554,10
384,55.56814413,37.56091422,5
385,55.968459,37.16421893,10
386,55.81711446,37.69313375,5
387,55.86429113,37.48955533,5
388,55.53675548,37.51500128,25
389,55.59773693,37.58683995,5
390,55.81477178,37.3935043,10
391,55.78381843,37.35721138,10
392,55.67954405,37.45754661,5
393,55.65290542,37.76782457,10
394,55.88130314,37.64938674,10
395,55.80932685,37.64143645,25
396,55.86714243,37.63434293,5
397,55.87356453,37.65120774,10
398,55.97528646,37.15974807,10
399,55.72179392,37.83410084,10
400,55.72146482,37.83344796,25
401,55.75720658,37.40620025,10
402,55.75680447,37.78224791,5
403,55.78226736,37.83547984,10
404,55.99450427,37.21265757,5
405,55.71383206,37.74221955,5
406,55.60553442,37.73565397,10
407,55.70945451,37.88858591,10
408,55.71055582,37.88873309,10
409,55.70485716,37.67660469,5
410,55.74203785,37.57845819,5
411,55.58649601,37.64162163,10
412,55.86039873,37.67467863,5
413,55.88177852,37.67993023,10
414,55.81025094,37.72455254,10
415,55.74359376,37.76042951,10
416,55.71751685,37.88839571,10
417,56.00529477,37.20398846,25
418,55.64551753,37.6695165,25
419,55.65497368,37.60222781,10
420,55.77028877,37.63436801,10
421,55.60510592,37.7096488,5
422,55.87823871,37.71800681,5
423,55.8558198,37.56248379,10
424,55.59326812,37.60176423,5
425,55.54591215,37.53842885,50
426,55.78834811,37.46075164,5
427,55.96653271,37.1496942,10
428,55.76105398,37.57659059,10
429,55.79830964,37.77364275,25
430,55.77019465,37.83689474,5
431,55.89694824,37.58565069,25
432,55.68016891,37.73923231,25
433,55.80937761,37.72345138,10
434,55.65326125,37.34208616,25
435,55.70311038,37.62296225,5
436,55.79486432,37.79448499,5
437,55.8708567,37.61809294,5
438,55.87266711,37.48553155,5
439,55.65269784,37.55435797,5
440,55.64393501,37.51036534,10
441,55.62524844,37.66930447,5
442,55.67836067,37.54822462,5
443,55.87648735,37.63762039,5
444,55.88730573,37.65354987,10
445,55.87256736,37.71301653,5
446,55.67581901,37.60365886,5
447,55.79469659,37.58029818,10
448,55.66444969,37.74541961,10
449,55.62847605,37.48842593,5
450,55.70218845,37.61855823,10
451,55.66902402,37.62917991,5
452,55.67406469,37.75813409,10
453,55.76183872,37.79032692,5
454,55.61834827,37.69788021,25
455,55.72266239,37.55810964,10
456,55.71072918,37.60339719,5
457,55.6726239,37.75836497,5
458,55.68838754,37.69256121,10
459,55.81901622,37.79477094,5
460,55.61834827,37.69788021,25
461,55.72669405,37.60930491,10
462,55.86870676,37.48681796,5
463,55.74231593,37.7860345,10
464,55.81206264,37.4634139,5
465,55.87286232,37.56582331,25
466,55.72195363,37.4198816,5
467,55.66461192,37.47343402,5
468,55.61297981,37.25568273,25
469,55.5925831,37.64322049,10
470,55.5831591,37.6756637,5
471,55.60651465,37.53532692,10
472,55.82703881,37.74817576,10
473,55.88071595,37.53231894,25
474,55.68296646,37.60259903,5
475,55.61132368,37.7069977,5
476,55.6757711,37.69052324,5
477,55.73875044,37.86196599,10
478,55.71582271,37.72751959,5
479,55.73712634,37.50903299,5
480,55.78147581,37.45387697,10
481,55.71202154,37.75107566,5
482,55.87797473,37.63188668,5
483,55.86983184,37.55644256,25
484,55.85065356,37.67464075,5
485,55.75556167,37.82610823,25
486,55.80381565,37.71334853,10
487,55.66281618,37.64782574,10
488,55.68407934,37.65627108,10
489,55.80798075,37.71968541,10
490,55.85974293,37.69470446,25
491,55.70175887,37.73824678,5
492,55.80140308,37.81980363,5
493,55.86287833,37.47924824,5
494,55.87848882,37.62568457,5
495,55.84155777,37.54890897,10
496,55.63645764,37.74311509,5
497,55.65099977,37.40237775,25
498,55.74117186,37.66652323,10
499,55.65853236,37.6023101,10
500,55.79587977,37.60928614,5
501,55.57690876,37.65024492,5
502,55.69115602,37.59665001,5
503,55.66001609,37.40959617,10
504,55.87119936,37.55545919,25
505,55.86611683,37.46416886,5
506,55.74361903,37.66452726,5
507,55.82684189,37.5921357,5
508,55.87314698,37.71093966,5
509,55.6337184,37.61395074,5
510,55.73327554,37.56597962,10
511,55.66837113,37.76379551,10
512,55.99610037,37.20083531,50
513,55.5662766,37.57985654,10
514,55.80943617,37.45158458,5
515,55.87412984,37.58981739,25
516,55.820774,37.64212979,25
517,55.87583222,37.64659281,10
518,55.76348249,37.65742103,10
519,55.63119637,37.75513885,5
520,55.73280661,37.71679513,10
521,55.73603161,37.49469238,5
522,55.61132368,37.7069977,5
523,55.67137283,37.56869833,5
524,55.86008304,37.57338384,5
525,55.69715049,37.85570811,5
526,55.67864986,37.68517774,5
527,55.85268763,37.4206265,10
528,55.86912119,37.60753363,5
529,55.67373584,37.72117583,5
530,55.72498132,37.46189396,5
531,55.88101338,37.7057845,25
532,55.85238742,37.65674134,5
533,55.60161029,37.61909784,5
534,55.73830386,37.67599614,10
535,55.86051662,37.64582284,10
536,55.77346377,37.63936013,5
537,55.80401975,37.613658,5
538,55.79505173,37.77318589,25
539,55.8771722,37.65112623,10
540,55.62571776,37.72152511,5
541,55.65716699,37.51766355,5
542,55.68626192,37.58763085,5
543,55.77818443,37.72289973,25
544,55.59561857,37.61180517,5
545,55.79666421,37.54601942,10
546,55.72269065,37.41695802,5
547,55.76622837,37.55758631,5
548,55.88828943,37.64997492,10
549,55.7203791,37.82374975,10
550,55.6300099,37.79420691,10
551,55.8431841,37.40017702,10
552,55.65217536,37.77183762,10
553,55.88057213,37.49607016,25
554,55.88705934,37.66712198,5
555,55.77658407,37.48793037,5
556,55.72839948,37.60905171,5
557,55.99388338,37.21877924,5
558,55.8578981,37.56936455,10
559,55.8163366,37.7931622,10
560,55.82001675,37.7017746,5
561,55.62850794,37.47436803,5
562,55.81043532,37.72182702,25
563,55.62167068,37.70373074,5
564,55.79324824,37.78880078,5
565,55.63279412,37.74916283,5
566,55.67456828,37.44486905,10
567,55.73894419,37.76207746,25
568,55.7486154,37.80970904,10
569,55.62885411,37.66860198,5
570,55.66112928,37.49365461,5
571,55.71596125,37.87996255,10
572,55.70874971,37.78329101,10
573,55.76138424,37.79082377,5
574,55.83227366,37.57008843,5
575,55.80562872,37.79398493,25
576,55.81471291,37.71536476,25
577,55.77823465,37.71519001,25
578,55.88959341,37.5220975,10
579,55.62083289,37.59491757,10
580,55.85779553,37.61795401,5
581,55.81711446,37.69313375,5
